Track Name,Artist Name,Album Name,Duration
worldstar money (interlude),Joji,In Tongues (Deluxe),2:06
She's My Collar (feat. Kali Uchis),Gorillaz,Humanz (Deluxe),3:29
bad vibes forever (feat. PnB Rock & Trippie Redd),XXXTENTACION,Bad Vibes Forever,2:30
Remember (Instrumental),Becky Hill,Remember (Instrumental),2:40
Remember,Becky Hill,Remember,2:41
Took Her To The O,King Von,Levon James,3:14
Walking On Sunshine,Katrina & The Waves,Mega 50 - Die 80er Jahre,3:58
We're Not Gonna Take It,Twisted Sister,Rock Your Party,3:38
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,The Heist,3:55
Anyone,Justin Bieber,Justice,3:10
Grace,Lewis Capaldi,Grace,3:04
Rise (Instrumental),Jonas Blue,Rise,3:14
PSYCHO,Anne-Marie,PSYCHO,2:42
Don't Call Me Up,Mabel,Don't Call Me Up,2:58
Grace,Lewis Capaldi,Grace,3:04
Rise (Instrumental),Jonas Blue,Rise,3:14
Paradise,MEDUZA,Paradise,2:47
Love Me Again (Instrumental),John Newman,Love Me Again (Instrumental),3:59
Anyone,Justin Bieber,Justice,3:10
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,The Heist,3:55
Anyone,Justin Bieber,Justice,3:10
El Amor De Tu Vida,Carin Leon,El Amor De Tu Vida,2:43
Anyone,Justin Bieber,Justice,3:10
Mama Cry,YNW Melly,I AM YOU,3:51
Beauty And A Beat,Justin Bieber,Believe,3:48
Relax,Frankie Goes To Hollywood,Maximum Joy,3:57
Run to the Hills (2015 Remaster),Iron Maiden,The Number of the Beast (2015 Remaster),3:53
It Must Have Been Love (Instrumental),Roxette,It Must Have Been Love (Instrumental),4:59
mine,Kelly Clarkson,mine / me,3:11
That's Hilarious,Charlie Puth,That's Hilarious,2:26
LEECHES,Melanie Martinez,PORTALS,3:20
Lonely,Justin Bieber,Justice,2:29
Your Love (9PM),ATB,Your Love (9PM),2:30
Cheating on You,Charlie Puth,Cheating on You,3:16
Relax,Frankie Goes To Hollywood,Bang!... The Greatest Hits Of Frankie Goes To Hollywood,3:55
Me La Avente,Carin Leon,El Malo,2:35
emotions,iann dior,nothings ever good enough,2:11
Relax,Frankie Goes To Hollywood,Maximum Joy,3:57
Run to the Hills (2015 Remaster),Iron Maiden,The Number of the Beast (2015 Remaster),3:53
It Must Have Been Love (Instrumental),Roxette,It Must Have Been Love (Instrumental),4:59
mine,Kelly Clarkson,mine / me,3:11
That's Hilarious,Charlie Puth,That's Hilarious,2:26
LEECHES,Melanie Martinez,PORTALS,3:20
Lonely,Justin Bieber,Justice,2:29
Ex Bitch,XXXTENTACION,Bad Vibes Forever,2:01
Happiest Year,Jaymes Young,Happiest Year,3:48
Unholy (ACRAZE Remix),Sam Smith,Unholy,2:56
AirplaneMode,Bones,IFeelLikeDirt,1:15
Are You Gonna Be My Girl,Jet,Get Born,3:33
Freaking Out the Neighborhood,Mac DeMarco,2,2:54
Moonlight on the River,Mac DeMarco,This Old Dog,7:03
All Night,The Vamps,Night & Day,3:17
Riot,XXXTENTACION,Riot,1:18
Run Away to Mars,Talk,Run Away to Mars,3:33
Sunday Best,Surfaces,Where the Light Is,2:39
Watching Him Fade Away,Mac DeMarco,This Old Dog,2:23
Points of Authority,Linkin Park,Little Nicky (Music From The Motion Picture),3:20
I Believe In A Thing Called Love,The Darkness,Rock Your Party,3:36
whoa (mind in awe),XXXTENTACION,SKINS,2:37
Floor 555,XXXTENTACION,?,1:33
Super Gremlin,Kodak Black,Back For Everything,3:20
Barbie Girl,Aqua,Aquarium,3:16
